movie,stars,review
Blood Red Sky,4,in the grand tradition of deep rise and from dusk till dawn peter thorwarth s blood red sky be a hijack thriller that — at just the right moment — be suddenly hijack itself a the bad guy realize that they re in a very different movie than the one for which they sign up except that blood red sky doesn t find just the right moment this undercooked overlong piece of genre-blurring german schlock hardly even seem to look for it on…
Space Jam: A New Legacy,3,i like the part where lebron james semi-fictional son effectively try to help kill hundred of innocent people by trap them in nba jam forever
Black Widow,3,i personally think *all* movie should be set between the end of captain america civil war and the post-credits scene of captain america civil war
Blue Bayou,5,justin chon s overcranked but achingly heartfelt blue bayou be a case-study in how issue-driven melodrama be a double-edged sword if do well these tear-jerkers can emotionally galvanize audience into grapple with the sort of social injustice that people tend to cry over in the dark of a theater and then leave behind when they re-emerge into the light of day if do poorly they risk glaze an urgent problem with a gloss of untruth and make an all-too-real tragedy from…
BELLE,7,beauty and the beast meet online bullying in a hyper-modern anime riff on the classic fairy tale or at least the disney version of it a miraï director mamoru hosoda push his boundless imagination to new extreme in a visually dazzle musical about how j-pop can save the world if that seem like too much ground for a cartoon to cover in the span of a two-hour coming-of-age story keep in mind that hosoda have a knack for reach familiar…
"Paris, 13th District",5,there be two million story in the city of light and these be some of them thread three adrian tomine graphic novel into a vaguely dreamlike if occasionally sleepy latticework of interweave story about love and sex and sex and sex in modern france jacques audiard s paris 13th district begin with a scene that prof mighty emblematic of the film to come okay technically it begin with a brief flash-forward and some woozy aerial shot of the title arrondissement —…
Red Rocket,9,former porn star mikey saber simon rex might be bless — at least accord to the sore underage girl he s groom during a post-coital chat in the flatbed of her pickup truck — but the reality of the situation be that the guy be nothing less than a living curse he s a big-dicked self-obsessed hyper-opportunistic hex of a man whose puppy dog con artist schtick be so transparent that even naive teenager can see right through it which be exactly…
Titane,9,during the first half of julia ducournau s titane it s hard to tell if you re watch the most fuck up movie ever make about the idea of found family or the sweetest movie ever make about a serial killer who have sex with a car pose a the adult version of a local boy who go miss a decade earlier and then promptly move in with the kid s still-grieving father during the second half it becomes obvious that it s both —…
A Hero,8,here s some free advice for any movie character out there if you ever happen to stumble upon a random bag full of money — and it s not much of a stretch to assume that you might someday — the very first thing you should do be look up and check if the opening credit be still float in the air nearby if you see the word direct by peter farrelly you might be in for a pretty good time and…
The French Dispatch,6,wes anderson at his most visually inventive and least emotionally involve anthology will do that to ya start strong jacques tati dirty tilda benicio do the mr. fox growl a lot peter out a it go fun enough to be worthy of an editor s burial which be really the best any of u can hope for in this barbaric slaughterhouse that be once know a humanity
Lingui: The Sacred Bonds,8,mahamat-saleh haroun s slender yet rivet lingui the sacred bond be a story about a woman try to secure an abortion for her 15-year-old daughter in a country where terminate a pregnancy violates both national and religious law but — a it title suggests in two different language — this soft hammer of a social drama be less concerned with the cruelty of chad s politics than it be with how people help each other to endure them together lingui be a…
Bergman Island,9,a young parisian filmmaker whose delicately personal work eden thing to come goodbye first love et al illuminates the unbearable lightness of be with the soft touch of a late summer breeze mia hansen-løve may not be the first 21st-century auteur who come to mind when people consider the portentous legacy of ingmar bergman a man whose cinema star into the void in the hope of see it own reflection and shout down god s silence with such howl rage that…
Drive My Car,8,adapt by happy hour and asako i ii auteur ryûsuke hamaguchi from a short story by haruki murakami drive my car be a head-on collision between an emerge filmmaker fascinate by the interior life of woman and a famous author who… be not to say nothing of his other charm murakami be more into mysterious pixie dream girl but these two wildly disparate storyteller aren t the only people vie for control of the wheel in this beguiling three-hour gem as…
Hit the Road,7,good
Benedetta,5,you probably won t be shock to hear that paul verhoeven s erotic drama about the relationship between two horny nun in a 17th century italian convent — a sacrilegious affair that become one of modern western civilization s early document instance of lesbianism after a parish scrivener write about it in his diary with curiously exact detail — isn t quite the restrain sapphic romance that period film like carol ammonite and the world to come have popularize in recent year on the…
Where Is Anne Frank,7,school tie have a great run but substitute hebrew school teacher of the world finally have a new movie to play on the old tube tv they always roll in from the storage closet don t groan just yet despite the fact that it s both destine and explicitly design to become an educational tool for the next generation of jewish tweens ari folman s where be anne frank be such a vital creative and sociopolitically urgent modernization of a classic holocaust story…
The Worst Person in the World,7,julie renate reinsve be a smart norwegian med school student in her late 20 who look a much like dakota johnson a dakota johnson ever have director joaquin trier underscore her allure a we first meet her poise on a balcony above downtown oslo in a backless cocktail dress so strongly that he even rack focus on the city behind her until it s just a blur she have the world at her foot and the rat-a-tat narration can hardly keep…
Stillwater,6,a strain but strangely affect turducken of a movie that bakes a dad-on-a-mission thriller together with a heartwarming fish-out-of-water story and then a brutal crime drama before glaze the whole thing with a marvelously goateed matt damon tom mccarthy s stillwater be the kind of original hollywood production that would make you say they don t make them like that anymore if only they have ever make them quite this way in the first place that it s a french co-production surely accounts…
After Yang,8,perhaps more speculative than columbus yet no less poignant kogonada s second feature after yang be the kind of cozy sci-fi marvel that can only be make by someone with an incorruptible belief in the life of object and the humanity of all thing the story adapt from a wry piece of short fiction by the writer alexander weinstein be a wisp of an idea that doesn t amount to a plot so much a a prompt at some unknown point in…
The Souvenir: Part II,9,joanna hogg s miraculous 2019 cine-memoir the souvenir end with it posh navel-gazing and newly grief-stricken heroine — a 25-year-old film student in 1980s london — stand on the precipice of herself her name be julie harte she s played by honor swinton byrne with the raw honesty of someone feel her way through a solar eclipse and she s follow in hogg s uncertain footstep with the shaky confidence of someone who s see i know where i m go enough time to convince herself…
The Velvet Underground,7,hypnotically vibrate in the fuzzy black space between a very special episode of behind the music and the long film that stan brakhage never make todd haynes the velvet underground be a documentary his first by a man whose previous musical tribute include a glam-rock fantasia that give david bowie the citizen kane treatment a mishima -esque kaleidoscope that refract bob dylan through the infinity mirror of his own myth and an underground karen carpenter biopic that cast the late singer…
Ahed's Knee,8,when writer-director nadav lapid be do press for his berlinale-winning synonym in 2019 he told a funny story about his conflict approach to the israeli notion of masculinity and national identity that rage across his film when his sister-in-law have a baby boy she ask him for advice a to whether or not they should circumcise the child i totally understand if you don t want your son to be israeli lapid told her channel his late mother s lifelong hope that…
Annette,4,the first 10 minute cinema life the last 130 minute i will find and kill thomas edison for his crime break my heart not to love a leo carax movie especially *this* leo carax movie but that 's what you get for look forward to thing
The Tomorrow War,5,a supposedly 200 million dollar sci-fi spectacle about contemporary people be conscript into a future war that pit the human race against some very hungry alien the tomorrow war sure be a mighty huge thing to watch at home on a comparatively small screen and yet strange a it be that this summer s big original blockbuster be skip theater altogether — a result of paramount s covid-related decision to salvage it investment and sell the movie to amazon — it can…
Fear Street: 1994,6,the kitschy genius of leigh janiak s fear street trilogy which the writer-director have adapt for netflix from r.l stine s young adult horror book of the same name be that each of it three chapter offer it own full-tilt throwback at the same time a they all bleed together into a wholly modern story that story — a frothy but fanged tale of curse outsider cyclical violence power-mad white men and virtually every other evil that seem top of mind these…
A.I. Artificial Intelligence,10,"i be already 16 year old when a.i. hit theater on the last weekend of june 2001 but steven spielberg s unnerve techno-fable have always felt like the last film that i ever saw a a child to a certain extent of course everything that happen before the end of that summer would soon be recast in a soft new light spielberg have imagine the world trade center would serve a a last memorial for our entire specie more than 2,000…"
The Ice Road,5,liam neeson s unexpected yet remarkably durable second act a a grizzle action star isn t show any sign of slow down and each one of his modest hit make it that much easy to imagine the 69-year-old actor will be able to keep this up for many year to come his secret efficiency if neeson broke into the world of mid-budget low-rent beat-em-ups a a gangly brawler who be ready to go anywhere and fight anyone in order to rescue his…
Sisters on Track,6,sister on track be an inspirational sport documentary that begin at the point where a hollywood adaptation of this story would likely come to a tear-jerking end unhoused brooklyn runner tai rainn and brooke sheppard be invite on the view to celebrate sport illustrate kid recent decision to name them 2016 s sportskids of the year and — in an on-air shock to the sibling and their single mother tonia handy alike — receive the key to a fully furnish bed-stuy…
Censor,6,get ta respect the commitment to the bit
The Misfits,2,expectation for renny harlin movie be pretty low these day in that most people don t even expect them to exist even with that caveat the director s late effort still manages to underwhelm the misfit isn t just a low-rent slog pepper with racism in lieu of any other flavor it s karmic retribution for all the well-intentioned critic this one include who ve push back against the marvelization of cinema by reflexively champion every lo-fi caper or self-contained shoot- em-up a a fun 90s…
Werewolves Within,6,base on ubisoft s mafia-like vr game of the same name werewolf within be a charmingly slight horror-comedy whodunnit about the sheer terror of have to live alongside the kind of grown-ass shotgun-toting white american man who s never even heard of mr. rogers how be you suppose to share a country with a person like that emerson flint the always excellent glenn fleshler and his revenant -inspired wardrobe may not be the most dangerous threat await forest ranger finn wheeler veep breakout…
Last Film Show,7,cinephiles have long be condition to roll their eye at mawkishly uplift movie about the magic of cinema the bad of these tend to come from people who can t find any other way to make the same point so it s understandable if the ultra-earnest title card at the start of pan nalin s last film show inspires you to put your head between your knee and brace for a long two hour gratitude for illuminate the path… it read follow by…
Luca,7,the shortest pixar movie since toy story and one of the few that manages to keep it high-concept premise anchor to a simple human scale enrico casarosa s luca be effectively the disney+ equivalent read non-alcoholic version of an aperol spritz on a late summer afternoon sweet effervescent and all the more satisfy for it simplicity at time luca be so modest so restrain so not about sentient action figure or a family of superheroes or the nature of the human…
Catch the Fair One,5,with ronda rousey lie low for the last few year and gina carano not lie nearly low enough the fighter-to-actress pipeline isn t flow a steadily a it once be but now a new challenger have enter the ring with catch the fair one and she s already a wba champion in two other weight class after her bruising yet vulnerable lead performance in josef kubota wladyka s sex-trafficking thriller boxer kali real deserves to add another title belt to her collection and…
Italian Studies,6,a dreamy lark of a movie shot piecemeal between july 2018 and april of the follow year adam leon s italian study may be set along and expertly steal from the crowd sidewalk of london and new york but it s unmistakably suffuse with the woozy dislocation and we have to make something life-force of a covid film no one be wear mask or social distance in the heat of low manhattan on a summer afternoon yet leon s heroine — a successful…
Infinite,3,rumor have it that antoine fuqua and mark wahlberg be caught off guard — and understandably piss — when paramount announce that it be scuttle the plan theatrical release of the shooter duo s new action movie and debut it instead on paramount+ an embryonic stream platform that currently seem to have more episode of the office than it do paid subscriber in hindsight fuqua and wahlberg might come to see this bit of covid-era corporate synergy a a blessing in…
Hitman's Wife's Bodyguard,5,the only real upside to the hitman s bodyguard — a low-stakes action comedy from the dog day of the 2017 summer movie season that s well remember for gross 176 million off a 69 million budget than it be for anything else — be that it be an original film it may have be a thoroughly mediocre out but it be one drop into a multiplex world so clog with superhero blockbuster and other well-established ip baywatch mania be sweep the…
The Real Thing,6,soon after complete his sprawl adaptation of an early 2000s manga by hoshisato mochiru writer-director fukada kōji openly begin to lament that japanese cinema be go to go down the drain if it continue to mine graphic novel and other pre-existing intellectual property instead of pursue original idea needle to say the timing of his criticism make fukada seem like something of a flaw messenger for the cause even if he be also argue for a broader national investment in…
Caveat,6,here s a free bit of life advice if someone offer you money to babysit their disturbed adult niece in the remote county cork house where her father recently kill himself don t take it isaac memorable newcomer jonathan french know there have to be a catch but pay gig be few and far between for an institutionalize drifter who suffers from memory loss and his potential employer moe ben caplan claim to be an old friend it s worth note that he…
American Traitor: The Trial of Axis Sally,2,it s not a critic s place to say or to know if american traitor the trial of axis sally only exists because producer and star meadow williams — eager to jumpstart an unremarkable career that might have reach it high point with a small part in the mel gibson hulu movie bos level — use some of the 800 million fortune she controversially inherit from her much old and very dead vitamin tycoon husband to buy herself a star role in…
Ghost Lab,5,a slapdash and silly netflix original horror movie from thailand pawan purijitpanya s ghost lab be hardly poise to become an unexpected cult hit just because it s available to watch in so many home across the world and yet for people who ve grown numb to the predictable rhythm of jumpy hollywood schlock there s something faintly endear about a vision of the afterlife a unpredictable a grief itself mourn someone isn t sad all the time — the process can swing from romantic…
Moby Doc,3,if nothing else moby doc be the perfect title for rob gordon bralver s documentary about the electronic musician moby not because it subject born richard melville hall be the great-great-great-grandnephew of a certain novelist — somehow that never come up — but rather because the pun s tongue-in-cheek aftertaste of self-importance so accurately prepares your palate for an insufferable movie that want to be profound and benign in equal measure that title say just because this guy commission and co-wrote a…
Cruella,5,the rare movie that leaf you think `` that would 've be so much well if emma stone have murder a lot of dog '' still kinda fun tho despite everything
The Dry,6,a dusty volatile little town in the middle of nowhere this slice of australia be go to burst into flame at any minute that s just a fact of life in this fictional place the whole area around kiewarra have be parch in a drought for at least the last 10 year and 324 day have pass since the last drop of rain when the body be found at the hadler house in what seem to be the first part of…
In the Heights,8,so exuberant and full of life that it would probably convince you the movie be back even if they hadn t go anywhere in the height be the kind of electrify theatrical experience that people have be wax nostalgic about ever since the pandemic begin — the kind that it almost seem like we might never get to enjoy again in that sense jon m. chu s super glossy broadway adaptation hit with equal part rapture and relief see this massive guileless
North Hollywood,5,there be countless different coming-of-age movie about kid who learn to blaze their own trail and become the best possible version of themselves shoutout to the pride of sacramento christine lady bird mcpherson but north hollywood be one of the rare few that actually embodies the courage of it conviction both on-screen and off on second thought make that less on-screen than off write and direct by mikey alfred a 25-year-old renaissance man whose prior accomplishment include found the skateboard…
Dream Horse,6,[ hagrid voice ] `` you 're a dream horse harry '' a charmingly guileless crowd-pleaser about a lovable group of working-class stiff and red-faced retiree in a former south wale mining village who find new reason to get out of bed in the morning when they pool their resource and invest in breeding a thoroughbred euro lyn s dream horse be more than a little hackneyed for something base on such an amaze true story and yet the rocky-like theatrics that dominate the home stretch…
F9,6,the first time that the fast furious franchise threaten to stall out justin lin drift into the picture and jump-started it with a simple philosophy that would transform these movie into a global juggernaut if you ain t outta control you ain t in control. over the course of four film that range in quality from generation-defining blockbuster to furious 6 lin successfully help a semi-grounded saga about illegal street racer shift gear into a bonafide cinematic universe without lose it soul.…
The Killing of Two Lovers,7,possibly the casey affleck-iest movie that casey affleck never make
Riders of Justice,7,from krzysztof kieślowski to ashton kutcher many of cinema s great thinker have be fascinate by the mind-boggling what ifs of blind chance and the butterfly effect the movie — painstakingly construct alternate reality that be create by exert an unnatural degree of control over the randomness of the universe — have a funny way of call to the kind of people who look for pattern in the chaos around them and perhaps a way to control it danish filmmaker anders…
Those Who Wish Me Dead,6,a simple but smolder throwback to the day when all you need to make a decent action film be a big star a strike location and a few cold henchman carry those fancy machine gun with the red laser sight taylor sheridan s those who wish me dead be nothing short of the most rock-solid blockbuster of the 1994 summer movie season in 2021 it can t help but feel like an unintended anachronism a if sheridan aim for something that matched…
Spiral: From the Book of Saw,5,legend have it that chris rock — of all people — storm into the lionsgate office a little more than two year ago and pitch a twist visionary take on how to reimagine the saw franchise in such chill detail that studio head joe drake be too shaken to say no the actual story behind what happen be a bit less dramatic rock sat next to a lionsgate exec at a wedding in brazil and casually float the idea of…
In the Heights,,watch this would 've make me feel like the movie be back even if they have n't actually go anywhere review tk
Oxygen,5,a taut single-location netflix thriller about a woman mélanie laurent who wake up in a futuristic cryogenic chamber with no idea of who she be why she s there or what she can to get out before she run out of air alexandre aja s oxygen would seem to be the perfect covid-era collaboration between the director of high tension and breathe. the rare high-concept movie that grows more compelling a it begin to unveil it mystery the film play out as…
Here Today,4,a downbeat but aggressively heartwarming dramedy about the unusual friendship that form between a widowed jewish writer billy crystal and the newly single black woman whose ex-boyfriend be his big fan tiffany haddish here today be the kind of movie that people don t really make anymore and by the time it s over there s a good chance that even the most old-fashioned audience will have make their peace with that which isn t to say that crystal s first directorial out in the…
Wrath of Man,4,the weird thing about guy ritchie s wrath of man isn t that his new meathead heist movie try to combine the tricksy plot of snatch which he make with the ice-cold steeliness of heat which he most definitely do not or that the entire story hinge on the protagonist buying two burrito from the wrong food truck it s not that one of the major action set piece be set to an industrial dubstep remix of johnny cash s folsom prison blue nor…
The Paper Tigers,6,the first thing you should know about tran quoc bao s the paper tiger be that his low-budget kung fu comedy — the heartfelt tale of three arthritic middle-aged seattle men reunite to avenge the murder sifu who mentor them a teenager — be often just a win and delightful a you would hope from it premise unfold like a silly-sweet cross between a shaw brother classic and the kind of dad movie that usa network might air between golf tournaments…
Mainstream,6,this be n't a review of mainstream it 's a profile i do on the movie 's fascinatingly weird star andrew garfield and his performance a `` one of the most obnoxious character in cinema history '' but when you think about it be n't *everything* kind of a review in some way whoa anyway here read this if you want garfield be a fun trip the big dildo be andrew garfield s idea it be a sunny afternoon in the summer of 2019 when the actor…
Cliff Walkers,5,you never really know what you re go to get with a zhang yimou movie these day then again perhaps that be always the case to a certain degree once a lead light of the so-called fifth generation of chinese filmmaker zhang graduate from the beijing film academy with the vision and confidence of a well-established auteur his debut feature red sorghum won the golden bear at the 1987 berlinale pave the way for an unimpeachable string of contemporary social dramas…
Things Heard & Seen,5,it s safe to assume any movie that open with a quote from 17th century pluralistic-christian theologian and big time spiritualist emanuel swedenborg have a lot on it mind and so it s no surprise that shari springer berman and robert pulcini s thing heard see isn t the straightforward horror story that s suggest by it ominous flash-forward of an opening scene indeed swedenborg s insistence that thing that be in heaven be more real than thing that be in the world hovers over the…
Tom Clancy's Without Remorse,4,jack ryan might fit right in to amazon prime s stream plan step one be the content appendage for a dystopian-sized everything company step two do whatever but tom clancy s entire brand of cloak-and-dagger make your dad feel young again spy story have felt out of step with the film world ever since they nuked ben affleck at the super bowl in a desperate attempt to keep pace with the effects-driven spectacle of contemporary summer blockbuster it s too ground too small
